iter	Passed	Remaining
786	8274	2239
787	8282	2228
788	8290	2216
789	8297	2205
790	8305	2194
791	8314	2183
792	8321	2172
793	8330	2161
794	8339	2150
795	8347	2139
796	8354	2127
797	8364	2117
798	8373	2106
799	8383	2095
800	8392	2085
801	8404	2074
802	8414	2064
803	8424	2053
804	8435	2043
805	8446	2032
806	8455	2022
807	8465	2011
808	8475	2001
809	8485	1990
810	8495	1979
811	8504	1969
812	8514	1958
813	8522	1947
814	8532	1936
815	8544	1926
816	8553	1915
817	8563	1905
818	8572	1894
819	8582	1883
820	8590	1873
821	8599	1862
822	8606	1850
823	8614	1839
824	8621	1828
825	8629	1817
826	8637	1806
827	8645	1795
828	8653	1784
829	8661	1774
830	8669	1763
831	8677	1752
832	8685	1741
833	8693	1730
834	8698	1718
835	8706	1708
836	8715	1697
837	8723	1686
838	8731	1675
839	8739	1664
840	8747	1653
841	8756	1643
842	8766	1632
843	8775	1622
844	8784	1611
845	8794	1600
846	8803	1590
847	8813	1579
848	8825	1569
849	8836	1559
850	8847	1549
851	8858	1538
852	8868	1528
853	8880	1518
854	8893	1508
855	8905	1498
856	8916	1487
857	8929	1477
858	8941	1467
859	8953	1457
860	8966	1447
861	8976	1437
862	8986	1426
863	8999	1416
864	9009	1406
865	9021	1395
866	9034	1385
867	9044	1375
868	9055	1365
869	9066	1354
870	9077	1344
871	9088	1334
872	9099	1323
873	9110	1313
874	9121	1303
875	9131	1292
876	9141	1282
877	9152	1271
878	9164	1261
879	9175	1251
880	9186	1240
881	9196	1230
882	9205	1219
883	9214	1209
884	9222	1198
885	9230	1187
886	9238	1176
887	9245	1166
888	9253	1155
889	9261	1144
890	9269	1133
891	9276	1123
892	9284	1112
893	9292	1101
894	9301	1091
895	9309	1080
896	9316	1069
897	9323	1059
898	9331	1048
899	9339	1037
900	9347	1027
901	9355	1016
902	9363	1005
903	9372	995
904	9382	984
905	9393	974
906	9401	964
907	9412	953
908	9419	942
909	9427	932
910	9436	921
911	9446	911
912	9455	900
913	9464	890
914	9473	880
915	9483	869
916	9492	859
917	9502	848
918	9512	838
919	9521	827
920	9531	817
921	9540	807
922	9549	796
923	9558	786
924	9567	775
925	9576	765
926	9585	754
927	9597	744
928	9608	734
929	9618	723
930	9626	713
931	9634	702
932	9642	692
933	9650	681
934	9658	671
935	9668	661
936	9677	650
937	9682	639
938	9690	629
939	9699	619
940	9707	608
941	9717	598
942	9727	587
943	9736	577
944	9745	567
945	9755	556
946	9764	546
947	9772	536
948	9780	525
949	9789	515
950	9799	504
951	9809	494
952	9819	484
953	9829	473
954	9838	463
955	9847	453
956	9856	442
957	9865	432
958	9875	422
959	9888	412
960	9898	401
961	9908	391
962	9918	381
963	9928	370
964	9937	360
965	9947	350
966	9955	339
967	9964	329
968	9976	319
969	9982	308
970	9992	298
971	10003	288
972	10014	277
973	10026	267
974	10036	257
975	10046	247
976	10055	236
977	10064	226
978	10073	216
979	10086	205
980	10096	195
981	10108	185
982	10120	175
983	10127	164
984	10132	154
985	10143	144
986	10154	133
987	10166	123
988	10179	113
989	10192	102
990	10204	92
991	10217	82
992	10230	72
993	10240	61
994	10248	51
995	10257	41
996	10267	30
997	10278	20
998	10288	10
999	10299	0
